coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': 69.4167, 'lat': 34.5}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 290.75, 'feels_like': 289.85, 'temp_min': 290.75, 'temp_max': 290.75, 'pressure': 1009, 'humidity': 49, 'sea_level': 1009, 'grnd_level': 798}",10000,"{'speed': 0.63, 'deg': 61, 'gust': 1.08}",{'all': 0},1725584016,"{'country': 'AF', 'sunrise': 1725584355, 'sunset': 1725630149}",16200,1138957,Kabul,200
"{'lon': 19.8189, 'lat': 41.3275}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 294.64, 'feels_like': 295.14, 'temp_min': 294.64, 'temp_max': 294.64, 'pressure': 1013, 'humidity': 88, 'sea_level': 1013, 'grnd_level': 977}",10000,"{'speed': 1.03, 'deg': 0}",{'all': 20},1725584101,"{'type': 1, 'id': 6359, 'country': 'AL', 'sunrise': 1725595947, 'sunset': 1725642358}",7200,3183875,Tirana,200
"{'lon': 3.042, 'lat': 36.7525}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 296.05, 'feels_like': 296.56, 'temp_min': 296.05, 'temp_max': 296.05, 'pressure': 1006, 'humidity': 83, 'sea_level': 1006, 'grnd_level': 1000}",10000,"{'speed': 1.54, 'deg': 230}",{'all': 0},1725584100,"{'type': 1, 'id': 1060, 'country': 'DZ', 'sunrise': 1725600195, 'sunset': 1725646161}",3600,2507480,Algiers,200
"{'lon': 1.4941, 'lat': 42.5045}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 283.93, 'feels_like': 283.2, 'temp_min': 283.93, 'temp_max': 283.93, 'pressure': 1012, 'humidity': 82, 'sea_level': 1012, 'grnd_level': 814}",10000,"{'speed': 1.58, 'deg': 136, 'gust': 2.76}",{'1h': 0.12},{'all': 100},1725584103,"{'type': 2, 'id': 19636, 'country': 'AD', 'sunrise': 1725600286, 'sunset': 1725646812}",7200,3041566,Andorra la Vella,200
"{'lon': 13.2343, 'lat': -8.8368}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 294.15, 'feels_like': 294.76, 'temp_min': 294.15, 'temp_max': 294.15, 'pressure': 1014, 'humidity': 94, 'sea_level': 1014, 'grnd_level': 1005}",9000,"{'speed': 2.06, 'deg': 170}",{'all': 40},1725584104,"{'type': 1, 'id': 2173, 'country': 'AO', 'sunrise': 1725599165, 'sunset': 1725642299}",3600,2240449,Luanda,200
"{'lon': -61.85, 'lat': 17.1167}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 301.16, 'feels_like': 302.5, 'temp_min': 301.16, 'temp_max': 301.2, 'pressure': 1013, 'humidity': 59, 'sea_level': 1013, 'grnd_level': 1013}",10000,"{'speed': 4.12, 'deg': 80}",{'1h': 0.95},{'all': 40},1725584105,"{'type': 2, 'id': 2016933, 'country': 'AG', 'sunrise': 1725530070, 'sunset': 1725574668}",-14400,3576022,St John's,200
"{'lon': -58.3772, 'lat': -34.6132}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 286.91, 'feels_like': 285.83, 'temp_min': 285.89, 'temp_max': 288.06, 'pressure': 1017, 'humidity': 57, 'sea_level': 1017, 'grnd_level': 1016}",10000,"{'speed': 5.14, 'deg': 10}",{'all': 0},1725584088,"{'type': 2, 'id': 2020613, 'country': 'AR', 'sunrise': 1725530789, 'sunset': 1725572282}",-10800,3435910,Buenos Aires,200
"{'lon': 44.5136, 'lat': 40.1811}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 295.24, 'feels_like': 294.71, 'temp_min': 295.24, 'temp_max': 295.24, 'pressure': 1010, 'humidity': 46, 'sea_level': 1010, 'grnd_level': 889}",10000,"{'speed': 1.03, 'deg': 120}",{'all': 0},1725583826,"{'type': 1, 'id': 8851, 'country': 'AM', 'sunrise': 1725590074, 'sunset': 1725636380}",14400,616052,Yerevan,200
"{'lon': 149.1281, 'lat': -35.2835}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 293.81, 'feels_like': 293.16, 'temp_min': 292.08, 'temp_max': 295.11, 'pressure': 1020, 'humidity': 47, 'sea_level': 1020, 'grnd_level': 944}",10000,"{'speed': 11.32, 'deg': 320, 'gust': 17.49}",{'all': 0},1725584051,"{'type': 1, 'id': 9588, 'country': 'AU', 'sunrise': 1725567378, 'sunset': 1725608873}",36000,2172517,Canberra,200
"{'lon': 16.3721, 'lat': 48.2085}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 294.04, 'feels_like': 293.54, 'temp_min': 292.42, 'temp_max': 296.31, 'pressure': 1012, 'humidity': 52, 'sea_level': 1012, 'grnd_level': 986}",10000,"{'speed': 1.34, 'deg': 57, 'gust': 2.24}",{'all': 100},1725584102,"{'type': 2, 'id': 2037452, 'country': 'AT', 'sunrise': 1725596374, 'sunset': 1725643585}",7200,2761369,Vienna,200
"{'lon': 49.892, 'lat': 40.3777}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 297.18, 'feels_like': 297.68, 'temp_min': 297.18, 'temp_max': 297.18, 'pressure': 1013, 'humidity': 78, 'sea_level': 1013, 'grnd_level': 1012}",10000,"{'speed': 8.23, 'deg': 340}",{'all': 0},1725584021,"{'type': 1, 'id': 8841, 'country': 'AZ', 'sunrise': 1725588772, 'sunset': 1725635101}",14400,587084,Baku,200
"{'lon': -77.3431, 'lat': 25.0582}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 302.14, 'feels_like': 307.65, 'temp_min': 302.14, 'temp_max': 302.14, 'pressure': 1016, 'humidity': 79, 'sea_level': 1016, 'grnd_level': 1016}",10000,"{'speed': 3.6, 'deg': 120}",{'all': 75},1725583944,"{'type': 1, 'id': 7269, 'country': 'BS', 'sunrise': 1725533523, 'sunset': 1725578649}",-14400,3571824,Nassau,200
